,Name,Link
909,Data for Machine Learning (Alberta Machine Intelligence Institute),https://coursera.org/learn/data-machine-learning
910,Data in Database (Arizona State University),https://coursera.org/learn/data-in-database
911,Data-driven Astronomy (The University of Sydney),https://coursera.org/learn/data-driven-astronomy
912,Data-driven Decision Making (PwC),https://coursera.org/learn/decision-making
913,Database Management Essentials (University of Colorado System),https://coursera.org/learn/database-management
914,Databases and SQL for Data Science (IBM),https://coursera.org/learn/sql-data-science
915,De-Mystifying Mindfulness (Universiteit Leiden),https://coursera.org/learn/mindfulness
916,"Dealing With Missing Data (University of Maryland, College Park)",https://coursera.org/learn/missing-data
917,"Decentralized Applications (Dapps) (University at Buffalo, The State University of New York)",https://coursera.org/learn/decentralized-apps-on-blockchain
918,Deciphering Secrets: The Illuminated Manuscripts of Medieval Europe (University of Colorado System),https://coursera.org/learn/medieval-europe
919,Decision Criteria & Applications (University of Michigan),https://coursera.org/learn/decision-criteria-and-applications
920,Decision-Making and Scenarios (University of Pennsylvania),https://coursera.org/learn/wharton-decision-making-scenarios
921,Deep Learning for Business (Yonsei University),https://coursera.org/learn/deep-learning-business
922,Deep Learning in Computer Vision (National Research University Higher School of Economics),https://coursera.org/learn/deep-learning-in-computer-vision
923,Deep Neural Networks with PyTorch (IBM),https://coursera.org/learn/deep-neural-networks-with-pytorch
924,"Delivery Problem (University of California San Diego, National Research University Higher School of Economics)",https://coursera.org/learn/delivery-problem
925,Demand Analytics (Rutgers the State University of New Jersey),https://coursera.org/learn/demand-analytics
926,Demand management: Breaking down today’s commercial silos (ESSEC Business School),https://coursera.org/learn/demandmanagement
927,Democracia y decisiones públicas. Introducción al análisis de políticas públicas (Universitat Autònoma de Barcelona),https://coursera.org/learn/democracia
928,"Dense Gases, Liquids and Solids (University of Colorado Boulder)",https://coursera.org/learn/dense-gases-liquids-solids
929,Dentistry 101 (University of Michigan),https://coursera.org/learn/dentistry101
930,Deploying Machine Learning Models (University of California San Diego),https://coursera.org/learn/deploying-machine-learning-models
931,Dermatology: Trip to skin (Novosibirsk State University ),https://coursera.org/learn/dermatology
932,"Desarrollando tu musicalidad (Berklee College of Music, Banco Interamericano de Desarrollo)",https://coursera.org/learn/desarrollo-musicalidad
933,"Desarrollo de Aplicaciones Mobile Multiplataforma con Nativescript, Angular y Redux (Universidad Austral)",https://coursera.org/learn/aplicaciones-mobile-multiplataforma-nativescript-angular-redux
934,Desarrollo de Aplicaciones Web: Conceptos Básicos (University of New Mexico),https://coursera.org/learn/aplicaciones-web
935,Desarrollo de Aplicaciones iOS - Proyecto Final (Tecnológico de Monterrey),https://coursera.org/learn/proyecto-ios-final
936,Desarrollo de Videojuegos 3D en Unity: Una Introducción (Universidad de los Andes),https://coursera.org/learn/juegos-3d
937,Desarrollo de Videojuegos en Unity: Una Introducción (Universidad de los Andes),https://coursera.org/learn/desarrollo-videojuegos-unity
938,Desarrollo de aplicaciones avanzadas con Android (Universidad Nacional Autónoma de México),https://coursera.org/learn/aplicaciones-android
939,Desarrollo de aplicaciones con Android (Universidad Nacional Autónoma de México),https://coursera.org/learn/desarrollo-de-aplicaciones
940,Desarrollo de páginas con Angular (Universidad Austral),https://coursera.org/learn/desarrollar-paginas-web-con-angular
941,"Desarrollo del lado servidor: NodeJS, Express y MongoDB (Universidad Austral)",https://coursera.org/learn/desarrollo-lado-servidor-nodejs-express-mongodb
942,Desarrollo rápido de productos innovadores para mercados emergentes (Tecnológico de Monterrey),https://coursera.org/learn/innovacion
943,Desarrollo y Diseño de Videojuegos: Proyecto final (Universidad de los Andes),https://coursera.org/learn/proyecto-desarrollo-videojuegos
944,Desenvolvendo sua musicalidade (Berklee College of Music),https://coursera.org/learn/desenvolvendo-musicalidade
945,Desenvolvimento Ágil com Java Avançado (Instituto Tecnológico de Aeronáutica),https://coursera.org/learn/desenvolvimento-agil-com-java-avancado
946,Desenvolvimento Ágil com Padrões de Projeto (Instituto Tecnológico de Aeronáutica),https://coursera.org/learn/desenvolvimento-agil-com-padroes-de-projeto
947,Design Patterns (University of Alberta),https://coursera.org/learn/design-patterns
948,Design Principles: an Introduction (University of California San Diego),https://coursera.org/learn/design-principles
949,Design Thinking (HEC Paris),https://coursera.org/learn/design-thinking-innovation
950,Design Thinking and Predictive Analytics for Data Products (University of California San Diego),https://coursera.org/learn/design-thinking-predictive-analytics-data-products
951,Design Thinking for Innovation (University of Virginia),https://coursera.org/learn/uva-darden-design-thinking-innovation
952,Design Thinking for the Greater Good: Innovation in the Social Sector (University of Virginia),https://coursera.org/learn/uva-darden-design-thinking-social-sector
953,Design and Analyze Secure Networked Systems (University of Colorado System),https://coursera.org/learn/design-secure-networked-systems
954,Design and Build a Data Warehouse for Business Intelligence Implementation (University of Colorado System),https://coursera.org/learn/data-warehouse-bi-building
955,Design and Interpretation of Clinical Trials (Johns Hopkins University),https://coursera.org/learn/clinical-trials
956,Design and Make Infographics (Project-Centered Course) (Michigan State University),https://coursera.org/learn/infographic-design
957,Design of High-Performance Optical Systems (University of Colorado Boulder),https://coursera.org/learn/design-high-performance-optical-systems
958,Design your own trading strategy – Culminating Project (Indian School of Business),https://coursera.org/learn/design-trading-strategy-culminating-project
959,Design-Led Strategy: Design thinking for business strategy and entrepreneurship (The University of Sydney),https://coursera.org/learn/design-strategy
960,Design: Creation of Artifacts in Society (University of Pennsylvania),https://coursera.org/learn/design
961,Designing Cities (University of Pennsylvania),https://coursera.org/learn/designing-cities
962,Designing Your Personal Weight Loss Plan (Case Western Reserve University),https://coursera.org/learn/weight-loss-plan
963,"Designing and Implementing Your Coaching Strategy (University of California, Davis)",https://coursera.org/learn/design-coaching-strategy
964,Designing data-intensive applications (Universidad Nacional Autónoma de México),https://coursera.org/learn/data-intensive-applications
965,Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV) (Johns Hopkins University),https://coursera.org/learn/patient-safety-sustainment
