,Name,Url,Rating,Difficulty,Tags
6,Learn to Program: The Fundamentals,https://coursera.org/learn/learn-to-program,4.8,Beginner Level,"['Computer Science', 'Software Development']"
7,Evaluación educativa del y para el aprendizaje en educación superior,https://coursera.org/learn/evaluacion-educativa,4.8,Beginner Level,"['Social Sciences', 'Education']"
8,Social Computing,https://coursera.org/learn/social-computing,4.4,None,"['Social Sciences', 'Governance and Society']"
9,Image and Video Processing: From Mars to Hollywood with a Stop at the Hospital,https://coursera.org/learn/image-processing,4.7,None,"['Math and Logic', 'Math and Logic']"
0,Getting started in cryo-EM,https://coursera.org/learn/cryo-em,4.9,None,"['Health', 'Research']"
1,Forensic Accounting and Fraud Examination,https://coursera.org/learn/forensic-accounting,4.7,None,"['Business', 'Finance']"
2,Compra programática de medios: Publicidad online en tiempo real,https://coursera.org/learn/compra-programatica,4.7,Beginner Level,"['Business', 'Marketing']"
3,Strategic Business Management - Macroeconomics,https://coursera.org/learn/strategic-business-management-macroeconomics,4.8,Beginner Level,"['Business', 'Business Strategy']"
4,Data in Database,https://coursera.org/learn/data-in-database,3.6,Intermediate Level,"['Information Technology', 'Data Management']"
5,Exploring ​and ​Preparing ​your ​Data with BigQuery 日本語版,https://coursera.org/learn/gcp-exploring-preparing-data-bigquery-jp,None,Beginner Level,"['Information Technology', 'Data Management']"
6,Competencias digitales. Bases de datos: Access,https://coursera.org/learn/competencias-digitales-access,4.7,Beginner Level,"['Personal Development', 'Personal Development']"
7,世界空间、法国视角下的国际研究,https://coursera.org/learn/espace-mondial-cn,4.7,Beginner Level,"['Social Sciences', 'Governance and Society']"
8,Climate Change and Water in Mountains: A Global Concern,https://coursera.org/learn/climate-changes-mountains-water,4.5,Intermediate Level,"['Physical Science and Engineering', 'Environmental Science and Sustainability']"
9,Introduction to Systems Biology,https://coursera.org/learn/systems-biology,4.3,None,"['Health', 'Basic Science']"
0,"Tropical Parasitology: Protozoans, Worms, Vectors and Human Diseases",https://coursera.org/learn/parasitology,4.7,Intermediate Level,"['Health', 'Basic Science']"
1,Managerial Accounting Fundamentals,https://coursera.org/learn/uva-darden-managerial-accounting,4.8,Beginner Level,"['Business', 'Finance']"
2,The Strategy of Content Marketing,https://coursera.org/learn/content-marketing,4.5,Intermediate Level,"['Business', 'Marketing']"
3,Lesson | Get Ready for the Interview,https://coursera.org/learn/lesson-get-ready-for-the-interview,None,None,"['Language Learning', 'Learning English']"
4,The Science of Training Young Athletes,https://coursera.org/learn/youth-sports,4.8,Beginner Level,"['Personal Development', 'Personal Development']"
5,Build Your First Android App (Project-Centered Course),https://coursera.org/learn/android-app,4.3,None,"['Computer Science', 'Mobile and Web Development']"
6,Avatar Psychology for Designers,https://coursera.org/learn/avatar-psychology-for-designers,None,Beginner Level,"['Computer Science', 'Software Development']"
7,Building Resilient Streaming Analytics Systems on GCP,https://coursera.org/learn/streaming-analytics-systems-gcp,4.8,Intermediate Level,"['Information Technology', 'Cloud Computing']"
8,Introduction to Applied Machine Learning,https://coursera.org/learn/machine-learning-applied,4.7,Intermediate Level,"['Data Science', 'Machine Learning']"
